cusip_9,isin,issue_cusip,complete_cusip,issue_id,maturity,offering_date,issue_name,coupon_type,coupon_type_label,offering_yield,security_level,seniority,bond_type,offering_amt,principal_amt,issuer_id,cusip_name,industry_group,industry_code,naics_code,naics_2digit,sector,rating,rating_type,rating_date,convertible,redeemable,putable,rule_144a,amount_outstanding,amount_outstanding_date,rating_broad
966387BE1,US966387BE16,BE1,966387BE1,728455,2026-01-15,2017-12-12,GTD SR NT RULE 144A,F,Fixed,6.625,SEN,Senior Unsecured,CDEB,1000000.0,1000.0,37834.0,WHITING PETE CORP,1.0,12,211120.0,21,Energy (Oil & Gas),D,SPR,2020-04-01,N,Y,N,Y,0.0,2020-09-01,D
41984LAA5,US41984LAA52,AA5,41984LAA5,962985,2026-01-20,2021-01-28,GTD SR SECD NT RULE 144A,F,Fixed,5.875,SS,Senior Subordinated,CDEB,1200000.0,1000.0,50907.0,HAWAIIAN BRAND INTELLECTUAL PPTY LTD / HAWAIIANMILES,5.0,16,481111.0,48,Transportation,Ba3,MR,2021-01-26,N,Y,N,Y,0.0,2024-10-16,BB
74348TAU6,US74348TAU60,AU6,74348TAU6,959765,2026-01-22,2021-01-14,NT,F,Fixed,3.98196,SEN,Senior Unsecured,CDEB,325000.0,1000.0,41821.0,PROSPECT CAP CORP,2.0,21,525990.0,52,Finance & Insurance,Ba1,MR,2024-12-16,N,Y,N,N,0.0,2025-06-18,BB
26817RBA5,US26817RBA59,BA5,26817RBA5,704479,2026-01-30,2017-08-07,SR NT RULE 144A,F,Fixed,8.24718,SEN,Senior Unsecured,CDEB,850000.0,1000.0,33909.0,DYNEGY INC,3.0,31,48621.0,48,Transportation,BB,FR,2020-07-01,N,Y,N,Y,0.0,2020-07-30,BB
05608QAA5,US05608QAA58,AA5,05608QAA5,920563,2026-01-31,2020-07-23,SR SECD NT RULE 144A,F,Fixed,4.25,SS,Senior Subordinated,CDEB,750000.0,1000.0,50493.0,BY CROWN PARENT LLC / BY BD FIN INC,5.0,60,423430.0,42,Wholesale Trade,B-,SPR,2020-07-22,N,Y,N,Y,0.0,2021-09-16,B
892231AB7,US892231AB73,AB7,892231AB7,957443,2026-02-01,2020-12-16,GTD SR SECD NT RULE 144A,F,Fixed,6.875,SS,Senior Subordinated,CDEB,550000.0,1000.0,45881.0,TOWNSQUARE MEDIA INC,1.0,15,516210.0,51,Information/Media,B+,SPR,2024-06-05,,Y,,Y,550000.0,2021-01-06,B
513075BJ9,US513075BJ91,BJ9,513075BJ9,646117,2026-02-01,2016-01-25,SR NT RULE 144A,F,Fixed,5.75,SEN,Senior Unsecured,CDEB,400000.0,1000.0,2420.0,LAMAR MEDIA CORP,1.0,15,54185.0,54,Professional Services,BB-,SPR,2020-04-02,N,Y,N,Y,0.0,2016-08-29,BB
87264AAU9,US87264AAU97,AU9,87264AAU9,735073,2026-02-01,2018-01-22,GTD SR NT,F,Fixed,4.5,SEN,Senior Unsecured,CDEB,1000000.0,1000.0,44537.0,T MOBILE USA INC,1.0,11,517112.0,51,Information/Media,Ba2,MR,2021-08-06,N,Y,N,N,1000000.0,2018-01-22,BB
92922PAM8,US92922PAM86,AM8,92922PAM8,1067974,2026-02-01,2023-01-12,GTD SR 2ND LIEN NT RULE 144A,F,Fixed,11.75,SS,Senior Subordinated,CDEB,275000.0,1000.0,39848.0,W & T OFFSHORE INC,1.0,12,211120.0,21,Energy (Oil & Gas),Caa1,MR,2024-05-01,N,Y,N,Y,5259.0,2025-02-11,CCC
589433AB7,US589433AB71,AB7,589433AB7,807487,2026-02-01,2019-01-30,GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,1272490.0,1000.0,48291.0,MEREDITH CORP,1.0,11,513120.0,51,Information/Media,Caa1,MR,2020-06-22,N,Y,N,N,1272490.0,2019-03-01,CCC
43734LAA4,US43734LAA44,AA4,43734LAA4,959780,2026-02-01,2021-01-13,SR NT RULE 144A,F,Fixed,5.0,SEN,Senior Unsecured,CDEB,550000.0,1000.0,50868.0,HOME PT CAP INC,2.0,22,522292.0,52,Finance & Insurance,B1,MR,2023-08-03,N,Y,N,Y,500000.0,2022-06-30,B
442488CG5,US442488CG54,CG5,442488CG5,736363,2026-02-01,2018-02-01,SR NT RULE 144A,F,Fixed,,SEN,Senior Unsecured,CDEB,90590.0,1000.0,2100.0,HOVNANIAN K ENTERPRISES INC,1.0,10,236115.0,23,Construction,Caa1,MR,2024-06-24,N,Y,N,Y,90590.0,2018-02-01,CCC
75281ABG3,US75281ABG31,BG3,75281ABG3,953995,2026-02-01,2020-11-17,GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,849986.0,1000.0,37278.0,RANGE RES CORP,1.0,12,211120.0,21,Energy (Oil & Gas),B1,MR,2021-10-06,N,Y,N,N,0.0,2022-02-01,B
977385AK9,US977385AK91,AK9,977385AK9,36501,2026-02-01,1996-02-07,SR SECD DEB,F,Fixed,6.883,SS,Senior Subordinated,CDEB,150000.0,1000.0,4565.0,WITCO CORP,1.0,10,325194.0,32,Manufacturing,Caa3,MR,2009-03-18,N,N,N,N,150000.0,2001-12-31,CCC
449223AC0,US449223AC06,AC0,449223AC0,34273,2026-02-01,1996-01-23,SR NT,F,Fixed,7.165,SEN,Senior Unsecured,CDEB,100000.0,1000.0,5979.0,IBP INC,1.0,10,311611.0,31,Manufacturing,Ba2,MR,2008-11-13,N,Y,N,N,0.0,2010-06-28,BB
608328BH2,US608328BH21,BH2,608328BH2,960544,2026-02-01,2021-01-15,GTD SR SECD NT RULE 144A,F,Fixed,8.0,SS,Senior Subordinated,CDEB,1175000.0,1000.0,5822.0,MOHEGAN TRIBAL GAMING AUTH,1.0,15,71399.0,71,Arts & Entertainment,B3,MR,2023-01-31,N,Y,N,Y,1175000.0,2021-01-26,B
62886HAY7,US62886HAY71,AY7,62886HAY7,919361,2026-02-01,2020-07-16,SR SECD NT RULE 144A,F,Fixed,10.25,SS,Senior Subordinated,CDEB,750000.0,1000.0,37942.0,NCL CORP LTD,1.0,16,483112.0,48,Transportation,B+,SPR,2021-03-01,N,Y,N,Y,0.0,2022-02-20,B
88163VAE9,US88163VAE92,AE9,88163VAE9,322680,2026-02-01,2006-01-27,GTD SR DEB CONV,F,Fixed,0.25,SEN,Senior Unsecured,CCOV,500000.0,1000.0,34865.0,TEVA PHARMACEUTICAL FIN LLC,1.0,10,325412.0,32,Manufacturing,Ba2,MR,2024-10-10,Y,Y,Y,N,22880.0,2021-02-01,BB
000361AG0,US000361AG05,AG0,000361AG0,322990,2026-02-01,2006-01-26,SR NT CONV RULE 144A,F,Fixed,1.75,SEN,Senior Unsecured,CCOV,125000.0,1000.0,3.0,AAR CORP,1.0,10,336412.0,33,Manufacturing,B+,SPR,2012-10-17,Y,N,N,Y,0.0,2006-05-25,B
000361AH8,US000361AH87,AH8,000361AH8,341863,2026-02-01,2006-05-01,SR NT CONV,F,Fixed,,SEN,Senior Unsecured,CCOV,150000.0,1000.0,3.0,AAR CORP,1.0,10,336412.0,33,Manufacturing,B+,SPR,2012-01-11,Y,Y,Y,N,0.0,2013-04-08,B
13057QAH0,US13057QAH02,AH0,13057QAH0,959899,2026-02-01,2021-01-14,GTD SR NT RULE 144A,F,Fixed,7.125,SEN,Senior Unsecured,CDEB,600000.0,1000.0,45453.0,CALIFORNIA RES CORP,1.0,12,213112.0,21,Energy (Oil & Gas),B2,MR,2021-01-13,N,Y,N,Y,122452.0,2025-02-28,B
07403VAA7,US07403VAA70,AA7,07403VAA7,1043179,2026-02-01,2021-01-21,SR SECD NT RULE 144A,F,Fixed,8.625,SS,Senior Subordinated,CDEB,300000.0,1000.0,51782.0,BEASLEY MEZZANINE HLDGS LLC,5.0,11,,na,Other,Ca,MR,2024-10-14,N,Y,N,Y,4295.0,2024-10-08,CC
75281ABC2,US75281ABC27,BC2,75281ABC2,874797,2026-02-01,2020-01-09,GTD SR NT RULE 144A,F,Fixed,9.25,SEN,Senior Unsecured,CDEB,550000.0,1000.0,37278.0,RANGE RES CORP,1.0,12,211120.0,21,Energy (Oil & Gas),BB-,SPR,2021-09-02,N,Y,N,Y,0.0,2022-02-01,BB
589433AA9,US589433AA98,AA9,589433AA9,734893,2026-02-01,2018-01-19,SR NT RULE 144A,F,Fixed,6.875,SEN,Senior Unsecured,CDEB,1400000.0,1000.0,48291.0,MEREDITH CORP,1.0,11,513120.0,51,Information/Media,CCC+,SPR,2020-06-22,N,Y,N,Y,127510.0,2019-03-01,CCC
30227MAB1,US30227MAB19,AB1,30227MAB1,734689,2026-02-01,2018-01-18,GTD GLOBAL SR NT RULE 144A,F,Fixed,5.625,SEN,Senior Unsecured,CDEB,750000.0,1000.0,47607.0,EXTRACTION OIL & GAS INC,1.0,12,213112.0,21,Energy (Oil & Gas),C,FR,2020-06-16,N,Y,N,Y,0.0,2021-01-20,C
52473NAA6,,AA6,52473NAA6,961079,2026-02-01,2021-01-14,SR SECD NT RULE 144A,F,Fixed,5.0,SS,Senior Subordinated,CDEB,400000.0,1000.0,50878.0,LEGENDS HOSPITALITY HLDG CO / LEGENDS HOSPITALITY CO-ISSUER INC,5.0,15,541513.0,54,Professional Services,B3,MR,2021-01-12,N,Y,N,Y,400000.0,2021-01-29,B
66981QAA4,US66981QAA40,AA4,66981QAA4,961376,2026-02-01,2021-01-21,GTD SR SECD 2ND LIEN NT RULE 144A,F,Fixed,6.0,SS,Senior Subordinated,CDEB,375000.0,1000.0,50885.0,BRUNDAGE-BONE CONCRETE PUMPING HLDGS INC,1.0,60,327390.0,32,Manufacturing,B2,MR,2022-09-22,N,Y,N,Y,375000.0,2021-01-28,B
45688CAA5,US45688CAA53,AA5,45688CAA5,733393,2026-02-01,2018-01-09,GTD SR NT RULE 144A,F,Fixed,4.5,SEN,Senior Unsecured,CDEB,300000.0,1000.0,48259.0,INGEVITY CORP,5.0,60,424690.0,42,Wholesale Trade,BB,FR,2021-09-20,N,Y,N,Y,0.0,2022-04-27,BB
404139AJ6,US404139AJ64,AJ6,404139AJ6,961644,2026-02-01,2021-01-26,GTD SR SECD NT RULE 144A,F,Fixed,8.5,SS,Senior Subordinated,CDEB,330000.0,1000.0,45643.0,HC2 HLDGS INC,1.0,11,332618.0,33,Manufacturing,CCC+,SPR,2024-05-15,,Y,,Y,330000.0,2021-02-01,CCC
228187AA8,US228187AA83,AA8,228187AA8,734433,2026-02-01,2018-01-18,GTD SR NT RULE 144A,F,Fixed,4.75,SEN,Senior Unsecured,CDEB,875000.0,1000.0,48285.0,CROWN AMERS LLC / CROWN AMERS CAP CORP VI,3.0,10,332431.0,33,Manufacturing,BB-,SPR,2018-10-18,N,Y,N,Y,50.0,2019-01-21,BB
513075BM2,US513075BM21,BM2,513075BM2,805107,2026-02-01,2019-01-23,SR NT RULE 144A,F,Fixed,5.40306,SEN,Senior Unsecured,CDEB,250000.0,1000.0,2420.0,LAMAR MEDIA CORP,1.0,15,54185.0,54,Professional Services,BB-,SPR,2020-04-02,N,Y,N,Y,0.0,2019-05-02,BB
228187AB6,US228187AB66,AB6,228187AB6,802755,2026-02-01,2018-12-18,GLOBAL GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,874950.0,1000.0,48285.0,CROWN AMERS LLC / CROWN AMERS CAP CORP VI,3.0,10,332431.0,33,Manufacturing,Ba2,MR,2023-05-09,N,Y,N,N,874950.0,2019-01-21,BB
165167DF1,US165167DF18,DF1,165167DF1,962722,2026-02-01,2021-02-02,SR NT RULE 144A,F,Fixed,5.5,SEN,Senior Unsecured,CDEB,500000.0,1000.0,6127.0,CHESAPEAKE ENERGY CORP,1.0,12,211120.0,21,Energy (Oil & Gas),Ba1,MR,2024-10-09,N,Y,N,Y,46838.0,2024-11-27,BB
62922LAA6,US62922LAA61,AA6,62922LAA6,962987,2026-02-01,2021-01-25,GTD SR SECD NT RULE 144A,F,Fixed,7.5,SS,Senior Subordinated,CDEB,2050000.0,1000.0,50909.0,NGL ENERGY OPER LLC / NGL,5.0,99,424720.0,42,Wholesale Trade,B+,SPR,2023-04-19,N,Y,N,Y,2050000.0,2021-02-04,B
513075BL4,US513075BL48,BL4,513075BL4,658557,2026-02-01,2016-08-01,GLOBAL GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,400000.0,1000.0,2420.0,LAMAR MEDIA CORP,1.0,15,54185.0,54,Professional Services,B1,MR,2020-08-17,N,Y,N,N,0.0,2021-02-03,B
09259EAB4,US09259EAB48,AB4,09259EAB4,964494,2026-02-09,2021-02-02,NT,F,Fixed,2.9379,SEN,Senior Unsecured,CDEB,175000.0,1000.0,49713.0,BLACKROCK TCP CAP CORP,2.0,22,921130.0,92,Public Administration,Ba1,MR,2025-03-05,N,Y,N,N,325000.0,2021-08-27,BB
29362UAB0,US29362UAB08,AB0,29362UAB0,720959,2026-02-10,2017-11-02,GTD SR NT RULE 144A,F,Fixed,4.625,SEN,Senior Unsecured,CDEB,550000.0,1000.0,44961.0,ENTEGRIS INC,1.0,10,333242.0,33,Manufacturing,Ba2,MR,2019-01-28,N,Y,N,Y,550000.0,2017-11-02,BB
37255JAA0,US37255JAA07,AA0,37255JAA0,963673,2026-02-15,2021-02-17,SR NT RULE 144A,F,Fixed,3.344,SEN,Senior Unsecured,CDEB,525000.0,1000.0,50920.0,GENTING NEW YORK LLC / GENNY CAP INC,5.0,15,721120.0,72,Accommodation & Food,BB+,SPR,2021-08-20,N,Y,N,Y,14599.0,2024-10-07,BB
46272EAA1,US46272EAA10,AA1,46272EAA1,963123,2026-02-15,2021-02-03,SR PIK NT RULE 144A,F,Fixed,8.75,SEN,Senior Unsecured,CDEB,175000.0,1000.0,50910.0,IRIS HLDGS INC,5.0,24,531210.0,53,Real Estate,Caa1,MR,2023-12-11,N,Y,N,Y,175000.0,2021-02-09,CCC
1248EPBM4,US1248EPBM40,BM4,1248EPBM4,653829,2026-02-15,2016-05-17,SR NT RULE 144A,F,Fixed,,SEN,Senior Unsecured,CDEB,2500000.0,1000.0,37475.0,CCO HLDGS LLC / CCO HLDGS CAP CORP,1.0,11,517111.0,51,Information/Media,BB+,FR,2021-04-14,N,Y,N,Y,0.0,2021-09-01,BB
00810GAC8,US00810GAC87,AC8,00810GAC8,962058,2026-02-15,2021-01-26,SR NT RULE 144A,F,Fixed,8.25,SEN,Senior Unsecured,CDEB,750000.0,1000.0,50888.0,AETHON UTD BR LP / AETHON UTD FIN CORP,1.0,99,213112.0,21,Energy (Oil & Gas),B3,MR,2024-05-02,N,Y,N,Y,16526.0,2024-09-25,B
19416MAA7,US19416MAA71,AA7,19416MAA7,960735,2026-02-15,2021-01-22,SR NT RULE 144A,F,Fixed,8.0,SEN,Senior Unsecured,CDEB,300000.0,1000.0,50874.0,COLGATE ENERGY PARTNERS III,3.0,12,213112.0,21,Energy (Oil & Gas),BB+,SPR,2025-04-08,N,Y,N,Y,447.0,2024-08-02,BB
14987EAC1,US14987EAC12,AC1,14987EAC1,642137,2026-02-15,2015-11-05,SR NT RULE 144A,F,Fixed,5.75,SEN,Senior Unsecured,CDEB,2500000.0,1000.0,45593.0,CCOH SAFARI LLC,5.0,15,334220.0,33,Manufacturing,BB+,SPR,2016-05-18,N,Y,N,Y,0.0,2016-05-17,BB
44106MAV4,US44106MAV46,AV4,44106MAV4,646179,2026-02-15,2016-01-29,SR NT,F,Fixed,5.563,SEN,Senior Unsecured,CDEB,350000.0,1000.0,24207.0,HOSPITALITY PPTYS TR,2.0,24,531110.0,53,Real Estate,B3,MR,2024-05-15,N,Y,N,N,350000.0,2016-01-29,B
86765LAL1,US86765LAL18,AL1,86765LAL1,799325,2026-02-15,2018-10-12,GLOBAL GTD SR NT,F,Fixed,,SEN,Senior Unsecured,CDEB,800000.0,1000.0,48277.0,SUNOCO LP / SUNOCO FIN CORP,1.0,12,424720.0,42,Wholesale Trade,BB,FR,2021-09-27,N,Y,N,N,0.0,2021-10-22,BB
428102AA5,US428102AA57,AA5,428102AA5,723545,2026-02-15,2017-11-20,SR NT RULE 144A,F,Fixed,5.625,SEN,Senior Unsecured,CDEB,800000.0,1000.0,48147.0,HESS MIDSTREAM OPERATIONS LP,1.0,12,213112.0,21,Energy (Oil & Gas),BB,FR,2019-09-19,N,Y,N,Y,5006.0,2019-12-13,BB
29444VAD6,US29444VAD64,AD6,29444VAD6,36873,2026-02-15,1996-02-15,DEB,F,Fixed,7.563,SEN,Senior Unsecured,CDEB,150000.0,1000.0,35300.0,EQUISTAR CHEMICALS L P,1.0,10,32511.0,32,Manufacturing,C,MR,2009-01-07,N,N,N,N,0.0,2010-04-30,C
45031UCJ8,US45031UCJ88,CJ8,45031UCJ8,926467,2026-02-15,2020-08-18,SR NT,F,Fixed,5.5,SEN,Senior Unsecured,CDEB,400000.0,1000.0,50037.0,ISTAR INC,2.0,24,,na,Other,BB+,FR,2022-06-17,N,Y,N,N,0.0,2023-03-31,BB
861036AA9,US861036AA92,AA9,861036AA9,923871,2026-02-15,2020-08-05,SR NT RULE 144A,F,Fixed,7.5,SEN,Senior Unsecured,CDEB,225000.0,1000.0,50513.0,STL HLDG CO LLC,5.0,60,236116.0,23,Construction,BB-,SPR,2024-01-29,N,Y,N,Y,225000.0,2020-08-05,BB
45569LAA9,US45569LAA98,AA9,45569LAA9,836565,2026-02-15,2018-02-01,SR NT RULE 144A,F,Fixed,6.875,SEN,Senior Unsecured,CDEB,650000.0,1000.0,49611.0,INDIGO NAT RES LLC,1.0,12,213112.0,21,Energy (Oil & Gas),BB-,SPR,2019-10-21,N,Y,N,Y,0.0,2021-02-03,BB
